iter	Passed	Remaining
920	3084	264
921	3088	261
922	3091	257
923	3095	254
924	3098	251
925	3102	247
926	3106	244
927	3109	241
928	3112	237
929	3117	234
930	3120	231
931	3124	227
932	3127	224
933	3132	221
934	3136	218
935	3140	214
936	3143	211
937	3147	208
938	3151	204
939	3155	201
940	3159	198
941	3163	194
942	3167	191
943	3170	188
944	3175	184
945	3180	181
946	3184	178
947	3188	174
948	3193	171
949	3197	168
950	3200	164
951	3204	161
952	3208	158
953	3212	154
954	3216	151
955	3220	148
956	3225	144
957	3229	141
958	3232	138
959	3236	134
960	3241	131
961	3245	128
962	3250	124
963	3253	121
964	3258	118
965	3261	114
966	3265	111
967	3269	108
968	3273	104
969	3276	101
970	3280	97
971	3283	94
972	3287	91
973	3290	87
974	3293	84
975	3297	81
976	3301	77
977	3304	74
978	3307	70
979	3310	67
980	3313	64
981	3316	60
982	3320	57
983	3323	54
984	3326	50
985	3329	47
986	3333	43
987	3337	40
988	3341	37
989	3345	33
990	3349	30
991	3352	27
992	3355	23
993	3358	20
994	3361	16
995	3365	13
996	3368	10
997	3371	6
998	3374	3
999	3377	0
